"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"177","02.03.2019 17:34 : Ryan Murgatroyd - Something Said (Super Flu RMX) https://t.co/0FdkvLNDZw",FALSE,0,NA,2019-03-02 16:34:50,FALSE,NA,"1101883574108725249",NA,"<a href=""http://www.pure-fm.de"" rel=""nofollow"">purefm playlist berlin</a>","purefm_play_bln",0,FALSE,FALSE,NA,NA
"178","RT @milkygoddess: i wish good ppl with pure hearts n pretty souls could live forever n ever a healthy happy life n the shitty ppl could cat…",FALSE,0,NA,2019-03-02 16:34:44,FALSE,NA,"1101883547046961152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","m00nlightTtTtT",151,TRUE,FALSE,NA,NA
"179","RT @kayyythemodel: The Flu, The Pregnant, The Stupid. Keep that shit  away from me",FALSE,0,NA,2019-03-02 16:34:08,FALSE,NA,"1101883396089737216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","immbigshawn",8243,TRUE,FALSE,NA,NA
"180","RT @picphysicians: Did you know that although mercury (thimerosal) has been removed from the U.S. childhood vaccine schedule since 2001 it…",FALSE,0,NA,2019-03-02 16:34:06,FALSE,NA,"1101883386996633601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ASDresolve",12,TRUE,FALSE,NA,NA
"181","RT @kayyythemodel: The Flu, The Pregnant, The Stupid. Keep that shit  away from me",FALSE,0,NA,2019-03-02 16:34:03,FALSE,NA,"1101883373952401409",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","draxobaby",8243,TRUE,FALSE,NA,NA
"182","#CarnavalSG2o19 &gt;&gt;&gt; Hoje é dia de #PortoDaPedra na avenida; Quarta escola a desfilar nesta noite de sábado, o Tigre… https://t.co/EkaDWxrPMS",FALSE,2,NA,2019-03-02 16:34:01,TRUE,NA,"1101883366633361408",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","saogoncalo_RJ",0,FALSE,FALSE,NA,NA
"183","@zoexcth now my name have a flu😳 when is dis going to stop😔",FALSE,0,"zoexcth",2019-03-02 16:33:54,FALSE,"1101882671783849984","1101883339571572736","349567877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","faithhuhh",0,FALSE,FALSE,NA,NA
"184","Será que ainda vou está feio quando Flu tiver um estádio desse ? https://t.co/gEndzOJWmz",FALSE,0,NA,2019-03-02 16:33:37,FALSE,NA,"1101883266087481344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gbgomex",0,FALSE,FALSE,NA,NA
"185","Due to this cold weather, unfortunately I have caught the flu. 
Don’t think that’ll stop me from draining your wall… https://t.co/I5CnFOlmy6",FALSE,1,NA,2019-03-02 16:33:35,TRUE,NA,"1101883258776649728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GoddessChloe11",0,FALSE,FALSE,NA,NA
"186","RT @TheVampsBrad: Had flu for the past week and I’m about two breaking bads away from completing Netflix.",FALSE,0,NA,2019-03-02 16:33:33,FALSE,NA,"1101883250492862464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CncoJaneth",815,TRUE,FALSE,NA,NA
